iter	Passed	Remaining
439	1993547	271847
440	1998339	267351
441	2002734	262802
442	2007451	258295
443	2012085	253776
444	2016573	249239
445	2021561	244763
446	2026176	240240
447	2030623	235697
448	2034966	231143
449	2039457	226606
450	2043853	222059
451	2048571	217547
452	2053988	213107
453	2058990	208620
454	2063095	204042
455	2067975	199541
456	2073164	195067
457	2077480	190511
458	2082222	185993
459	2086568	181440
460	2091258	176917
461	2095730	172376
462	2100427	167852
463	2104590	163287
464	2109098	158749
465	2114536	154279
466	2120382	149834
467	2125644	145343
468	2129761	140773
469	2133735	136195
470	2137822	131628
471	2141701	127050
472	2145790	122486
473	2149637	117912
474	2153739	113354
475	2157818	108797
476	2161812	104238
477	2165928	99687
478	2169904	95131
479	2174046	90585
480	2177973	86032
481	2182244	81494
482	2186463	76956
483	2190719	72420
484	2195707	67908
485	2200564	63390
486	2205386	58870
487	2209702	54336
488	2213744	49797
489	2217961	45264
490	2222735	40742
491	2227414	36218
492	2231952	31691
493	2236691	27166
494	2241844	22644
495	2246004	18112
496	2251015	13587
497	2255966	9060
498	2260648	4530
499	2266098	0
