iter	WKappa	MultiClass
99	0.4969887187	-1.019558887
100	0.4961251978	-1.019287938
101	0.4965396053	-1.018940985
102	0.497453892	-1.018426002
103	0.4987212821	-1.01804527
104	0.4979452331	-1.017510915
105	0.4983503279	-1.017068373
106	0.4984723586	-1.016564196
107	0.498486455	-1.015964293
108	0.4992195269	-1.015581446
109	0.5006240493	-1.014966559
110	0.5010750198	-1.014426424
111	0.500990834	-1.01394439
112	0.501375296	-1.013498927
113	0.5014252709	-1.013196279
114	0.50319288	-1.012743944
115	0.5037885797	-1.012415471
116	0.5035544859	-1.012014898
117	0.5045558299	-1.011625301
118	0.5045674479	-1.011329073
119	0.5049769872	-1.01101474
120	0.504479346	-1.010742723
121	0.5053379798	-1.01040313
122	0.5060534926	-1.009837835
123	0.5057008808	-1.009323623
124	0.5065409722	-1.008919781
125	0.5071052373	-1.008478073
126	0.5066971676	-1.00799412
127	0.5071959948	-1.007732143
128	0.5063046858	-1.007218527
129	0.5059815421	-1.006845984
130	0.5066735844	-1.006330215
131	0.5066072438	-1.005997572
132	0.506648155	-1.00569402
133	0.506845824	-1.005238346
134	0.5072056595	-1.004885254
135	0.507216985	-1.004508521
136	0.5080268153	-1.004281608
137	0.5078688995	-1.00397735
138	0.5080002388	-1.003675391
139	0.5073513943	-1.003321171
140	0.5070194159	-1.00292688
141	0.5069317032	-1.002639533
142	0.507057946	-1.002275015
143	0.5073412842	-1.001846994
144	0.5081123057	-1.001665968
145	0.5082680047	-1.001352949
146	0.5079370019	-1.000723449
147	0.5082357576	-1.000407247
148	0.5086994165	-1.000067779
149	0.5088470292	-0.9997266001
150	0.5085413744	-0.9993171011
151	0.509202586	-0.9990461278
152	0.5094816107	-0.9988470694
153	0.5097107675	-0.9985412939
154	0.5097983846	-0.9983554925
155	0.5095722498	-0.9980655851
156	0.5101606318	-0.9975450135
157	0.5102800411	-0.9972955311
158	0.509846819	-0.9969196192
159	0.5098387889	-0.9966273759
160	0.5097223161	-0.9961674618
161	0.509040911	-0.9959596369
162	0.5100357623	-0.9954814812
163	0.5104074529	-0.9950410271
164	0.5104982717	-0.9946194197
165	0.5105389822	-0.9942438276
166	0.510609724	-0.9940464265
167	0.5109693189	-0.9936854778
168	0.5112962368	-0.9932536427
169	0.5114304702	-0.992713792
170	0.512007768	-0.9925050564
171	0.5121785576	-0.9921650323
172	0.5124682778	-0.9918351603
173	0.5123315548	-0.9914896134
174	0.5132043942	-0.9911604107
175	0.5131338741	-0.9908997183
176	0.5126916938	-0.9906352758
177	0.5130584891	-0.9902908842
178	0.5135862831	-0.9898863148
179	0.5135940872	-0.9896813643
180	0.5134971623	-0.9892857567
181	0.5135927489	-0.9890215432
182	0.5143884155	-0.9885390179
183	0.5147634338	-0.9881454183
184	0.5153023421	-0.9878537733
185	0.515384831	-0.9875451254
186	0.5155489303	-0.9872173127
187	0.5157415638	-0.9868656238
188	0.5159586397	-0.9867103285
189	0.5155521378	-0.9864374004
190	0.5159257186	-0.9859992724
191	0.5160727066	-0.9857826516
192	0.5159058203	-0.9854460322
193	0.5165221958	-0.9852021929
194	0.5166626087	-0.9848502787
195	0.517098739	-0.9846879864
196	0.5171231951	-0.9843700789
197	0.5179410501	-0.984033959
198	0.5181083173	-0.9838392179
199	0.518522358	-0.9835376446
200	0.5184775024	-0.9832301563
201	0.5186572238	-0.9829839667
202	0.5189340445	-0.9827577013
203	0.5184778179	-0.982313396
204	0.5184003428	-0.9821142154
205	0.5185449438	-0.98178938
206	0.5194903934	-0.9814767482
207	0.5194031137	-0.9810734972
208	0.5198668245	-0.9807618771
209	0.5199467335	-0.9805116889
210	0.5192481757	-0.9802539653
211	0.5197445184	-0.9799985028
212	0.5196773937	-0.9797792894
213	0.519634948	-0.9795669584
214	0.5206229803	-0.9792697806
215	0.5204410213	-0.978938631
216	0.5207029453	-0.978566419
217	0.5207748407	-0.9782578991
218	0.5215801502	-0.9780020481
219	0.5214853535	-0.9777917847
220	0.5216599345	-0.9774941334
221	0.5213531349	-0.9771324625
222	0.522129682	-0.9769124968
223	0.5218997046	-0.9767122442
224	0.5226102681	-0.9762726612
225	0.5222694317	-0.9760750248
226	0.5227979925	-0.9757649246
227	0.5230548916	-0.9755473927
228	0.5226605449	-0.9752267363
229	0.5219181391	-0.9748867401
230	0.5219606485	-0.974523012
231	0.5217217717	-0.9742442227
232	0.5226264369	-0.9740268074
233	0.5222726789	-0.9737344244
234	0.5229955693	-0.9735856814
235	0.5235784495	-0.9733018439
236	0.5230943226	-0.9730972611
237	0.5227477227	-0.972835397
238	0.5225656634	-0.9726218302
239	0.5235116935	-0.9723757125
240	0.5237711958	-0.9720785273
241	0.5236293656	-0.9719433354
242	0.523535823	-0.9717282773
243	0.5229908973	-0.971368623
244	0.5235622846	-0.9711542036
245	0.5233539446	-0.9710052707
246	0.5236610396	-0.9706304773
247	0.5240810423	-0.9703263966
248	0.5243176091	-0.9700570835
249	0.524334142	-0.9699166461
250	0.5245253315	-0.9697012861
251	0.5246555293	-0.9694416188
252	0.5248675611	-0.9690809017
253	0.5254250583	-0.9688160381
254	0.5255461323	-0.9684848923
255	0.5266373695	-0.9680818803
256	0.5267265562	-0.9679181254
257	0.5271166879	-0.9676965774
258	0.527371098	-0.9674582006
259	0.527103874	-0.967258155
260	0.5276161498	-0.966927554
261	0.5276112939	-0.9667313029
262	0.5275712592	-0.9665395109
263	0.5268157262	-0.9662392342
264	0.5266886537	-0.9659450619
265	0.5272743654	-0.9657573604
266	0.5272093747	-0.9655086991
267	0.5275464964	-0.9652698077
268	0.5273628005	-0.9650931232
269	0.5274946776	-0.9648496695
270	0.5274504783	-0.9644661239
271	0.5278447377	-0.9641630625
272	0.5281872274	-0.9639025747
273	0.5284917615	-0.963652888
274	0.5285338374	-0.9635031645
275	0.5279716433	-0.9632334538
276	0.5285330544	-0.9629365661
277	0.5282009697	-0.9626832604
278	0.5284779984	-0.962494175
279	0.5285200801	-0.9623199718
280	0.5286988587	-0.9621240438
281	0.5288824461	-0.9620308727
282	0.5285585569	-0.9616885537
283	0.5294133835	-0.9614140492
284	0.5303627399	-0.9611931221
285	0.5305899915	-0.9608873647
286	0.5311463221	-0.9606325811
287	0.5314898031	-0.9604091848
288	0.5313883341	-0.9601337841
289	0.5311707313	-0.959867176
290	0.5317969068	-0.9594693141
291	0.5324632085	-0.959398579
292	0.5319082069	-0.9591975989
293	0.5318996874	-0.9589349107
294	0.5319415956	-0.9587178237
295	0.5317429101	-0.958474648
296	0.5318555894	-0.9582555597
297	0.5320580629	-0.9579912365
298	0.5332233876	-0.9577328886
299	0.5336520963	-0.9573467557
300	0.53380709	-0.9570598836
301	0.5335815209	-0.9568314841
302	0.5337579256	-0.9566379819
303	0.5339138629	-0.9564793922
304	0.5337858693	-0.9563142894
305	0.5339238994	-0.9560618029
306	0.533778052	-0.9557163805
307	0.5338150756	-0.9554414681
308	0.533868208	-0.9552202004
309	0.534036238	-0.955072383
310	0.5344850074	-0.9547585888
311	0.5336309247	-0.9544937306
312	0.5342704089	-0.9542138082
313	0.5343039488	-0.953969212
314	0.5340910839	-0.9537846725
315	0.5347088185	-0.9536276876
316	0.5341041299	-0.9534561774
317	0.5345363359	-0.9532633488
318	0.5350376157	-0.9527253901
319	0.5354298262	-0.95244279
320	0.5350359241	-0.9522882392
321	0.5356491974	-0.9521397901
322	0.5345811653	-0.9519376506
323	0.5348470683	-0.951803675
324	0.5356124601	-0.9514762889
325	0.536196789	-0.9513773807
326	0.5362384789	-0.9511054281
327	0.5361440809	-0.9510000739
328	0.5356718522	-0.95067253
329	0.5366855405	-0.9504735791
330	0.5370536113	-0.9503679105
331	0.5367319091	-0.9501054282
332	0.5373019893	-0.9497815699
333	0.5370298406	-0.9493987449
334	0.537567787	-0.9491758619
335	0.5376352702	-0.9490104932
336	0.5375440507	-0.9488570497
337	0.5373599767	-0.9486410647
338	0.536878345	-0.9483165061
339	0.5369263747	-0.9481403054
340	0.5370334973	-0.9479401875
341	0.537060893	-0.947768327
342	0.5379274944	-0.9473771049
343	0.5376759139	-0.94717982
344	0.5374100371	-0.9470643654
345	0.5380532991	-0.9466664798
346	0.5383097038	-0.9465515373
347	0.5384071288	-0.9463994087
348	0.5382278433	-0.946308293
349	0.5383267872	-0.9461319597
350	0.5383929155	-0.9459205035
351	0.5397215982	-0.9456183269
352	0.5389893421	-0.9454680605
353	0.5396261443	-0.9451762042
354	0.5389537058	-0.9449420444
355	0.5393170688	-0.9447823933
356	0.5399814913	-0.944648117
357	0.5405991372	-0.9444408648
358	0.5405632459	-0.9442708186
359	0.5413217484	-0.9440841716
360	0.5412091781	-0.9439430403
361	0.5412567375	-0.9437176122
362	0.5405736536	-0.9434599294
363	0.5408467437	-0.943299501
364	0.5411156213	-0.9430049636
365	0.5412547675	-0.9428419408
366	0.5415236423	-0.9424755518
367	0.5416580797	-0.9422422037
368	0.5420004407	-0.942096517
369	0.5422692987	-0.9419495754
370	0.5422378366	-0.9418026647
371	0.5425040397	-0.9415718506
372	0.5419563338	-0.9413008226
373	0.542035238	-0.9411116996
374	0.5421622098	-0.9409597653
375	0.5424344522	-0.9407920495
376	0.5424344522	-0.9405957578
377	0.5424411681	-0.9404171842
378	0.5427114031	-0.9401629257
379	0.5426410115	-0.9399938828
380	0.542827556	-0.9398937742
381	0.5425573692	-0.9396878051
382	0.5426704543	-0.9394315742
383	0.5427293576	-0.9392044544
384	0.5430396958	-0.93911935
385	0.5434324461	-0.9389324821
386	0.542810443	-0.9387748635
387	0.5427575178	-0.9384367597
388	0.5428753531	-0.9382569709
389	0.5432694786	-0.9380555048
390	0.5433227887	-0.9379065145
391	0.5437735382	-0.9376357815
392	0.5433888816	-0.9374007656
393	0.543375731	-0.937217414
394	0.5435706626	-0.9370149002
395	0.5436556116	-0.9368960021
396	0.5441155754	-0.9364601295
397	0.5439776908	-0.9363273246
398	0.5443420478	-0.9361326154
399	0.5448255127	-0.9359350479
400	0.5450036024	-0.9357653716
401	0.5450897407	-0.9355432604
402	0.5456298236	-0.9354247817
403	0.5453929712	-0.9352109162
404	0.5453929712	-0.9350390419
405	0.5458824573	-0.9348993369
406	0.5461799828	-0.934693327
407	0.5463144546	-0.9344458212
408	0.5463750622	-0.9342399879
409	0.5465601273	-0.9340396219
410	0.5460623791	-0.9338597412
411	0.5461828841	-0.933704438
412	0.5459622792	-0.9335754373
413	0.5463988146	-0.9334155593
414	0.5463045041	-0.9333051428
415	0.5467961966	-0.9330974733
416	0.5467434703	-0.9329993623
417	0.5470687013	-0.9327345594
418	0.547645713	-0.9325958207
419	0.5480150673	-0.9323593877
420	0.5486058846	-0.9321750351
421	0.5482968338	-0.932031915
422	0.5481995473	-0.9317833097
423	0.5482108378	-0.9316816743
424	0.5485265176	-0.9313637735
425	0.5485640424	-0.9311055149
426	0.5490410901	-0.9308836687
427	0.549448169	-0.9307386369
428	0.5494593002	-0.9305511402
429	0.5495544522	-0.9304143323
430	0.5502729537	-0.9302913623
431	0.5495161598	-0.9301483921
432	0.5498130541	-0.9300443015
433	0.5499774764	-0.9299145946
434	0.5503897707	-0.9295398595
435	0.5506547749	-0.9292815546
436	0.5512295003	-0.9290231786
437	0.5511060734	-0.9287993008
438	0.5513600931	-0.9285064254
439	0.5516170905	-0.9283432227
440	0.5515291843	-0.92818058
441	0.5519252027	-0.9280376263
442	0.552156969	-0.9277910095
443	0.5530087514	-0.9275354806
444	0.552550949	-0.9273674219
445	0.5528314438	-0.9271585756
446	0.5529810848	-0.9269892441
447	0.5529856688	-0.9268856502
448	0.5531594634	-0.9267444301
449	0.5532135965	-0.9265466845
450	0.5529810848	-0.9263255045
451	0.5529810848	-0.9262467955
452	0.5528815839	-0.9260131518
453	0.5525379654	-0.9257787877
454	0.5521219121	-0.9255188341
455	0.552424652	-0.9252757493
456	0.5525590254	-0.9250086888
457	0.5524640654	-0.9247918372
458	0.552818599	-0.9246108308
459	0.5525074106	-0.9243938966
460	0.5523660872	-0.9240965214
461	0.5523761627	-0.923779744
462	0.5524062887	-0.9236127781
463	0.5529832515	-0.9234502519
464	0.5531123006	-0.923337135
465	0.553151011	-0.92316958
466	0.5536773218	-0.9229606867
467	0.5536484303	-0.9228351414
468	0.5540484949	-0.9227043597
469	0.5536467569	-0.92253798
470	0.5544484849	-0.9223022197
471	0.554208701	-0.9220798426
472	0.5544334025	-0.921949445
473	0.5543892896	-0.9217178098
474	0.5545659505	-0.9215472245
475	0.5546656729	-0.9212856836
476	0.5545701607	-0.921131698
477	0.5544798808	-0.9210183019
478	0.5548693871	-0.9208463845
479	0.5545985434	-0.9205971253
480	0.5549076394	-0.9203274475
481	0.5547732111	-0.920157789
482	0.5550414135	-0.9200284577
483	0.5555719145	-0.919915041
484	0.5557505199	-0.9197651106
485	0.5557057119	-0.9195981424
486	0.55556154	-0.9193434536
487	0.5552543545	-0.9191732882
488	0.5555737945	-0.9188815917
489	0.5555244361	-0.9187365214
490	0.5556920353	-0.9185207169
491	0.5557628042	-0.9183515991
492	0.5555829235	-0.9181831055
493	0.5561479077	-0.9179549971
494	0.556053119	-0.9176704539
495	0.5559271707	-0.9175062342
496	0.5563553951	-0.9170860897
497	0.5564041932	-0.9169768109
498	0.5559989056	-0.916755757
499	0.5560528591	-0.9165771665
